,reference,eval,EC,enzyme_name,reaction,description,temperature,ionic_strength,p_h,p_mg,default_ionic_strength,standard_dg_prime,balance,weight,decompose,standard_dg,stoichiometry,reaction_id,standard_dg_cc,standard_dg_rc,standard_dg_gc
16,67ENG/DEN,B,4.2.1.3,aconitate hydratase,"Compound(id=74392, inchi_key=ODBLHEXUDAPZAU-UHFFFAOYSA-K) = Compound(id=123, inchi_key=KRKNYBCHXYNGOX-UHFFFAOYSA-K)",isocitrate(aq) = citrate(aq),310.15,0.25,7.3,2.51,True,-9.163363882561523,True,1.0,,-9.163556472089425,"{74392: -1.0, 123: 1.0}",7250593312195052843,-7.627473708326079,-7.627473708326988,-6.528466023773859
17,57ROB/BOY,A,2.7.1.1,hexokinase,"Compound(id=6, inchi_key=ZKHQWZAMYRWXGA-KQYNXXCUSA-J) + Compound(id=43, inchi_key=WQZGKKKJIJFFOK-GASJEMHNSA-N) = Compound(id=3, inchi_key=GPRLSGONYQIRFK-UHFFFAOYSA-N) + Compound(id=10, inchi_key=XTWYTFMLZFPYCI-KQYNXXCUSA-K) + Compound(id=152, inchi_key=NBSCHQHZLSJFNQ-GASJEMHNSA-L)",ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),303.15,0.25,6.02,1.96,True,-13.384903642061563,True,1.0,,22.02472734829374,"{6: -1.0, 43: -1.0, 10: 1.0, 152: 1.0, 3: 1.0}",-6499772814337559815,21.99076426353588,21.990764263527808,24.465077314336213
18,57ROB/BOY,A,2.7.1.1,hexokinase,"Compound(id=6, inchi_key=ZKHQWZAMYRWXGA-KQYNXXCUSA-J) + Compound(id=43, inchi_key=WQZGKKKJIJFFOK-GASJEMHNSA-N) = Compound(id=3, inchi_key=GPRLSGONYQIRFK-UHFFFAOYSA-N) + Compound(id=10, inchi_key=XTWYTFMLZFPYCI-KQYNXXCUSA-K) + Compound(id=152, inchi_key=NBSCHQHZLSJFNQ-GASJEMHNSA-L)",ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),303.15,0.25,6.0,2.6,True,-15.275745198773418,True,1.0,,20.071337893021198,"{6: -1.0, 43: -1.0, 10: 1.0, 152: 1.0, 3: 1.0}",-6499772814337559815,21.99076426353588,21.990764263527808,24.465077314336213
19,57ROB/BOY,A,2.7.1.1,hexokinase,"Compound(id=6, inchi_key=ZKHQWZAMYRWXGA-KQYNXXCUSA-J) + Compound(id=43, inchi_key=WQZGKKKJIJFFOK-GASJEMHNSA-N) = Compound(id=3, inchi_key=GPRLSGONYQIRFK-UHFFFAOYSA-N) + Compound(id=10, inchi_key=XTWYTFMLZFPYCI-KQYNXXCUSA-K) + Compound(id=152, inchi_key=NBSCHQHZLSJFNQ-GASJEMHNSA-L)",ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),303.15,0.25,6.01,2.31,True,-14.368834771265746,True,1.0,,21.009408686096315,"{6: -1.0, 43: -1.0, 10: 1.0, 152: 1.0, 3: 1.0}",-6499772814337559815,21.99076426353588,21.990764263527808,24.465077314336213
20,57ROB/BOY,A,2.7.1.1,hexokinase,"Compound(id=6, inchi_key=ZKHQWZAMYRWXGA-KQYNXXCUSA-J) + Compound(id=43, inchi_key=WQZGKKKJIJFFOK-GASJEMHNSA-N) = Compound(id=3, inchi_key=GPRLSGONYQIRFK-UHFFFAOYSA-N) + Compound(id=10, inchi_key=XTWYTFMLZFPYCI-KQYNXXCUSA-K) + Compound(id=152, inchi_key=NBSCHQHZLSJFNQ-GASJEMHNSA-L)",ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),303.15,0.25,5.94,2.66,True,-13.699481600175554,True,1.0,,21.465513248261587,"{6: -1.0, 43: -1.0, 10: 1.0, 152: 1.0, 3: 1.0}",-6499772814337559815,21.99076426353588,21.990764263527808,24.465077314336213
21,57ROB/BOY,A,2.7.1.1,hexokinase,"Compound(id=6, inchi_key=ZKHQWZAMYRWXGA-KQYNXXCUSA-J) + Compound(id=43, inchi_key=WQZGKKKJIJFFOK-GASJEMHNSA-N) = Compound(id=3, inchi_key=GPRLSGONYQIRFK-UHFFFAOYSA-N) + Compound(id=10, inchi_key=XTWYTFMLZFPYCI-KQYNXXCUSA-K) + Compound(id=152, inchi_key=NBSCHQHZLSJFNQ-GASJEMHNSA-L)",ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),303.15,0.25,6.12,2.69,True,-14.167892737175748,True,1.0,,21.567718880703694,"{6: -1.0, 43: -1.0, 10: 1.0, 152: 1.0, 3: 1.0}",-6499772814337559815,21.99076426353588,21.990764263527808,24.465077314336213
22,57ROB/BOY,A,2.7.1.1,hexokinase,"Compound(id=6, inchi_key=ZKHQWZAMYRWXGA-KQYNXXCUSA-J) + Compound(id=43, inchi_key=WQZGKKKJIJFFOK-GASJEMHNSA-N) = Compound(id=3, inchi_key=GPRLSGONYQIRFK-UHFFFAOYSA-N) + Compound(id=10, inchi_key=XTWYTFMLZFPYCI-KQYNXXCUSA-K) + Compound(id=152, inchi_key=NBSCHQHZLSJFNQ-GASJEMHNSA-L)",ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),303.15,0.25,6.04,0.92,True,-12.688972627614259,True,1.0,,22.784107685071884,"{6: -1.0, 43: -1.0, 10: 1.0, 152: 1.0, 3: 1.0}",-6499772814337559815,21.99076426353588,21.990764263527808,24.465077314336213
23,57ROB/BOY,A,2.7.1.1,hexokinase,"Compound(id=6, inchi_key=ZKHQWZAMYRWXGA-KQYNXXCUSA-J) + Compound(id=43, inchi_key=WQZGKKKJIJFFOK-GASJEMHNSA-N) = Compound(id=3, inchi_key=GPRLSGONYQIRFK-UHFFFAOYSA-N) + Compound(id=10, inchi_key=XTWYTFMLZFPYCI-KQYNXXCUSA-K) + Compound(id=152, inchi_key=NBSCHQHZLSJFNQ-GASJEMHNSA-L)",ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),303.15,0.25,6.03,0.75,True,-13.409601648710968,True,1.0,,22.031642226022967,"{6: -1.0, 43: -1.0, 10: 1.0, 152: 1.0, 3: 1.0}",-6499772814337559815,21.99076426353588,21.990764263527808,24.465077314336213
24,57ROB/BOY,A,2.7.1.1,hexokinase,"Compound(id=6, inchi_key=ZKHQWZAMYRWXGA-KQYNXXCUSA-J) + Compound(id=43, inchi_key=WQZGKKKJIJFFOK-GASJEMHNSA-N) = Compound(id=3, inchi_key=GPRLSGONYQIRFK-UHFFFAOYSA-N) + Compound(id=10, inchi_key=XTWYTFMLZFPYCI-KQYNXXCUSA-K) + Compound(id=152, inchi_key=NBSCHQHZLSJFNQ-GASJEMHNSA-L)",ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),303.15,0.25,7.0,0.81,True,-18.08210078499216,True,1.0,,21.32705564794991,"{6: -1.0, 43: -1.0, 10: 1.0, 152: 1.0, 3: 1.0}",-6499772814337559815,21.99076426353588,21.990764263527808,24.465077314336213
25,57ROB/BOY,A,2.7.1.1,hexokinase,"Compound(id=6, inchi_key=ZKHQWZAMYRWXGA-KQYNXXCUSA-J) + Compound(id=43, inchi_key=WQZGKKKJIJFFOK-GASJEMHNSA-N) = Compound(id=3, inchi_key=GPRLSGONYQIRFK-UHFFFAOYSA-N) + Compound(id=10, inchi_key=XTWYTFMLZFPYCI-KQYNXXCUSA-K) + Compound(id=152, inchi_key=NBSCHQHZLSJFNQ-GASJEMHNSA-L)",ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),303.15,0.25,5.99,0.83,True,-12.43081077220541,True,1.0,,22.885340953540897,"{6: -1.0, 43: -1.0, 10: 1.0, 152: 1.0, 3: 1.0}",-6499772814337559815,21.99076426353588,21.990764263527808,24.465077314336213
26,57ROB/BOY,A,2.7.1.1,hexokinase,"Compound(id=6, inchi_key=ZKHQWZAMYRWXGA-KQYNXXCUSA-J) + Compound(id=43, inchi_key=WQZGKKKJIJFFOK-GASJEMHNSA-N) = Compound(id=3, inchi_key=GPRLSGONYQIRFK-UHFFFAOYSA-N) + Compound(id=10, inchi_key=XTWYTFMLZFPYCI-KQYNXXCUSA-K) + Compound(id=152, inchi_key=NBSCHQHZLSJFNQ-GASJEMHNSA-L)",ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),303.15,0.25,5.7,0.84,True,-11.279201685618359,True,1.0,,23.2477986139968,"{6: -1.0, 43: -1.0, 10: 1.0, 152: 1.0, 3: 1.0}",-6499772814337559815,21.99076426353588,21.990764263527808,24.465077314336213
27,57ROB/BOY,A,2.7.1.1,hexokinase,"Compound(id=6, inchi_key=ZKHQWZAMYRWXGA-KQYNXXCUSA-J) + Compound(id=43, inchi_key=WQZGKKKJIJFFOK-GASJEMHNSA-N) = Compound(id=3, inchi_key=GPRLSGONYQIRFK-UHFFFAOYSA-N) + Compound(id=10, inchi_key=XTWYTFMLZFPYCI-KQYNXXCUSA-K) + Compound(id=152, inchi_key=NBSCHQHZLSJFNQ-GASJEMHNSA-L)",ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),303.15,0.25,6.03,2.12,True,-13.85864040443633,True,1.0,,21.582603470297606,"{6: -1.0, 43: -1.0, 10: 1.0, 152: 1.0, 3: 1.0}",-6499772814337559815,21.99076426353588,21.990764263527808,24.465077314336213
28,57ROB/BOY,A,2.7.1.1,hexokinase,"Compound(id=6, inchi_key=ZKHQWZAMYRWXGA-KQYNXXCUSA-J) + Compound(id=43, inchi_key=WQZGKKKJIJFFOK-GASJEMHNSA-N) = Compound(id=3, inchi_key=GPRLSGONYQIRFK-UHFFFAOYSA-N) + Compound(id=10, inchi_key=XTWYTFMLZFPYCI-KQYNXXCUSA-K) + Compound(id=152, inchi_key=NBSCHQHZLSJFNQ-GASJEMHNSA-L)",ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),303.15,0.25,6.0,1.07,True,-13.257645450669749,True,1.0,,22.089437641124867,"{6: -1.0, 43: -1.0, 10: 1.0, 152: 1.0, 3: 1.0}",-6499772814337559815,21.99076426353588,21.990764263527808,24.465077314336213
29,57ROB/BOY,A,2.7.1.1,hexokinase,"Compound(id=6, inchi_key=ZKHQWZAMYRWXGA-KQYNXXCUSA-J) + Compound(id=43, inchi_key=WQZGKKKJIJFFOK-GASJEMHNSA-N) = Compound(id=3, inchi_key=GPRLSGONYQIRFK-UHFFFAOYSA-N) + Compound(id=10, inchi_key=XTWYTFMLZFPYCI-KQYNXXCUSA-K) + Compound(id=152, inchi_key=NBSCHQHZLSJFNQ-GASJEMHNSA-L)",ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),303.15,0.25,6.0,0.98,True,-13.610297897494172,True,1.0,,21.736785194300445,"{6: -1.0, 43: -1.0, 10: 1.0, 152: 1.0, 3: 1.0}",-6499772814337559815,21.99076426353588,21.990764263527808,24.465077314336213
30,57ROB/BOY,A,2.7.1.1,hexokinase,"Compound(id=6, inchi_key=ZKHQWZAMYRWXGA-KQYNXXCUSA-J) + Compound(id=43, inchi_key=WQZGKKKJIJFFOK-GASJEMHNSA-N) = Compound(id=3, inchi_key=GPRLSGONYQIRFK-UHFFFAOYSA-N) + Compound(id=10, inchi_key=XTWYTFMLZFPYCI-KQYNXXCUSA-K) + Compound(id=152, inchi_key=NBSCHQHZLSJFNQ-GASJEMHNSA-L)",ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),303.15,0.25,6.02,2.67,True,-13.899437676630823,True,1.0,,21.51019331372448,"{6: -1.0, 43: -1.0, 10: 1.0, 152: 1.0, 3: 1.0}",-6499772814337559815,21.99076426353588,21.990764263527808,24.465077314336213
31,57ROB/BOY,A,2.7.1.1,hexokinase,"Compound(id=6, inchi_key=ZKHQWZAMYRWXGA-KQYNXXCUSA-J) + Compound(id=43, inchi_key=WQZGKKKJIJFFOK-GASJEMHNSA-N) = Compound(id=3, inchi_key=GPRLSGONYQIRFK-UHFFFAOYSA-N) + Compound(id=10, inchi_key=XTWYTFMLZFPYCI-KQYNXXCUSA-K) + Compound(id=152, inchi_key=NBSCHQHZLSJFNQ-GASJEMHNSA-L)",ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),303.15,0.25,6.34,0.82,True,-14.248441654009817,True,1.0,,22.27597566143762,"{6: -1.0, 43: -1.0, 10: 1.0, 152: 1.0, 3: 1.0}",-6499772814337559815,21.99076426353588,21.990764263527808,24.465077314336213
32,57ROB/BOY,A,2.7.1.1,hexokinase,"Compound(id=6, inchi_key=ZKHQWZAMYRWXGA-KQYNXXCUSA-J) + Compound(id=43, inchi_key=WQZGKKKJIJFFOK-GASJEMHNSA-N) = Compound(id=3, inchi_key=GPRLSGONYQIRFK-UHFFFAOYSA-N) + Compound(id=10, inchi_key=XTWYTFMLZFPYCI-KQYNXXCUSA-K) + Compound(id=152, inchi_key=NBSCHQHZLSJFNQ-GASJEMHNSA-L)",ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),303.15,0.25,5.94,1.0,True,-12.967447119868245,True,1.0,,22.197547728568892,"{6: -1.0, 43: -1.0, 10: 1.0, 152: 1.0, 3: 1.0}",-6499772814337559815,21.99076426353588,21.990764263527808,24.465077314336213
33,57ROB/BOY,A,2.7.1.1,hexokinase,"Compound(id=6, inchi_key=ZKHQWZAMYRWXGA-KQYNXXCUSA-J) + Compound(id=43, inchi_key=WQZGKKKJIJFFOK-GASJEMHNSA-N) = Compound(id=3, inchi_key=GPRLSGONYQIRFK-UHFFFAOYSA-N) + Compound(id=10, inchi_key=XTWYTFMLZFPYCI-KQYNXXCUSA-K) + Compound(id=152, inchi_key=NBSCHQHZLSJFNQ-GASJEMHNSA-L)",ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),303.15,0.25,6.0,2.4,True,-14.40220183523157,True,1.0,,20.944881256563043,"{6: -1.0, 43: -1.0, 10: 1.0, 152: 1.0, 3: 1.0}",-6499772814337559815,21.99076426353588,21.990764263527808,24.465077314336213
34,57ROB/BOY,A,2.7.1.1,hexokinase,"Compound(id=6, inchi_key=ZKHQWZAMYRWXGA-KQYNXXCUSA-J) + Compound(id=43, inchi_key=WQZGKKKJIJFFOK-GASJEMHNSA-N) = Compound(id=3, inchi_key=GPRLSGONYQIRFK-UHFFFAOYSA-N) + Compound(id=10, inchi_key=XTWYTFMLZFPYCI-KQYNXXCUSA-K) + Compound(id=152, inchi_key=NBSCHQHZLSJFNQ-GASJEMHNSA-L)",ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),303.15,0.25,6.01,1.1,True,-12.12274174172184,True,1.0,,23.25550171564022,"{6: -1.0, 43: -1.0, 10: 1.0, 152: 1.0, 3: 1.0}",-6499772814337559815,21.99076426353588,21.990764263527808,24.465077314336213
35,57ROB/BOY,A,2.7.1.1,hexokinase,"Compound(id=6, inchi_key=ZKHQWZAMYRWXGA-KQYNXXCUSA-J) + Compound(id=43, inchi_key=WQZGKKKJIJFFOK-GASJEMHNSA-N) = Compound(id=3, inchi_key=GPRLSGONYQIRFK-UHFFFAOYSA-N) + Compound(id=10, inchi_key=XTWYTFMLZFPYCI-KQYNXXCUSA-K) + Compound(id=152, inchi_key=NBSCHQHZLSJFNQ-GASJEMHNSA-L)",ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),303.15,0.25,6.0,2.6,True,-16.189458699548663,True,1.0,,19.157624392245953,"{6: -1.0, 43: -1.0, 10: 1.0, 152: 1.0, 3: 1.0}",-6499772814337559815,21.99076426353588,21.990764263527808,24.465077314336213
36,57ROB/BOY,A,2.7.1.1,hexokinase,"Compound(id=6, inchi_key=ZKHQWZAMYRWXGA-KQYNXXCUSA-J) + Compound(id=43, inchi_key=WQZGKKKJIJFFOK-GASJEMHNSA-N) = Compound(id=3, inchi_key=GPRLSGONYQIRFK-UHFFFAOYSA-N) + Compound(id=10, inchi_key=XTWYTFMLZFPYCI-KQYNXXCUSA-K) + Compound(id=152, inchi_key=NBSCHQHZLSJFNQ-GASJEMHNSA-L)",ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),303.15,0.25,6.03,1.85,True,-13.164578215371465,True,1.0,,22.27666565936247,"{6: -1.0, 43: -1.0, 10: 1.0, 152: 1.0, 3: 1.0}",-6499772814337559815,21.99076426353588,21.990764263527808,24.465077314336213
37,57ROB/BOY,A,2.7.1.1,hexokinase,"Compound(id=6, inchi_key=ZKHQWZAMYRWXGA-KQYNXXCUSA-J) + Compound(id=43, inchi_key=WQZGKKKJIJFFOK-GASJEMHNSA-N) = Compound(id=3, inchi_key=GPRLSGONYQIRFK-UHFFFAOYSA-N) + Compound(id=10, inchi_key=XTWYTFMLZFPYCI-KQYNXXCUSA-K) + Compound(id=152, inchi_key=NBSCHQHZLSJFNQ-GASJEMHNSA-L)",ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),303.15,0.25,5.94,2.66,True,-13.610297897494172,True,1.0,,21.55469695094297,"{6: -1.0, 43: -1.0, 10: 1.0, 152: 1.0, 3: 1.0}",-6499772814337559815,21.99076426353588,21.990764263527808,24.465077314336213
38,57ROB/BOY,A,2.7.1.1,hexokinase,"Compound(id=6, inchi_key=ZKHQWZAMYRWXGA-KQYNXXCUSA-J) + Compound(id=43, inchi_key=WQZGKKKJIJFFOK-GASJEMHNSA-N) = Compound(id=3, inchi_key=GPRLSGONYQIRFK-UHFFFAOYSA-N) + Compound(id=10, inchi_key=XTWYTFMLZFPYCI-KQYNXXCUSA-K) + Compound(id=152, inchi_key=NBSCHQHZLSJFNQ-GASJEMHNSA-L)",ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),303.15,0.25,5.94,2.66,True,-13.610297897494172,True,1.0,,21.55469695094297,"{6: -1.0, 43: -1.0, 10: 1.0, 152: 1.0, 3: 1.0}",-6499772814337559815,21.99076426353588,21.990764263527808,24.465077314336213
39,57ROB/BOY,A,2.7.1.1,hexokinase,"Compound(id=6, inchi_key=ZKHQWZAMYRWXGA-KQYNXXCUSA-J) + Compound(id=43, inchi_key=WQZGKKKJIJFFOK-GASJEMHNSA-N) = Compound(id=3, inchi_key=GPRLSGONYQIRFK-UHFFFAOYSA-N) + Compound(id=10, inchi_key=XTWYTFMLZFPYCI-KQYNXXCUSA-K) + Compound(id=152, inchi_key=NBSCHQHZLSJFNQ-GASJEMHNSA-L)",ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),303.15,0.25,6.07,2.67,True,-14.317940585755073,True,1.0,,21.251972701231146,"{6: -1.0, 43: -1.0, 10: 1.0, 152: 1.0, 3: 1.0}",-6499772814337559815,21.99076426353588,21.990764263527808,24.465077314336213
